Order	Family	Subfamily	Genus	Virus name (s)	Virus GENBANK accession	Baltimore Group	Virus sequence complete	Genetic code table	Taxonomic grouping
Cirlivirales	Endolinaviridae		Camdisavirus	dromedary stool-associated circular ssDNA virus DcSCV_c941	KM573765		Complete genome	1	Endolinaviridae
Martellivirales	Endornaviridae		Alphaendornavirus	Agaricus bisporus endornavirus 1	KY357509	IV	Complete genome	1	Endornaviridae
Martellivirales	Endornaviridae		Alphaendornavirus	Basella alba endornavirus 1	AB844264	IV	Complete genome	1	Endornaviridae
Grandevirales	Epsomviridae	Sescentorumvirinae	Wendovervirus	uncultured phage HB1	OR769223	I	Coding-complete genome	1	Epsomviridae
Bullavirales	Eubullaviridae		Alphatrevirus	Escherichia phage alpha3	X60322		Complete genome	1	Eubullaviridae
Bullavirales	Eubullaviridae		Alphatrevirus	Escherichia phage ID21	DQ079870		Complete genome	1	Eubullaviridae
Amphintovirales	Eupolintoviridae		Alphadintovirus	Mayetiola barley midge adintovirus	BK011003	I	Complete genome	1	Eupolintoviridae
Amphintovirales	Eupolintoviridae		Betadintovirus	Terrapene box turtle adintovirus	BK010890	I	Complete genome	1	Eupolintoviridae
	Eurekaviridae		Hesperidvirus	Methanosarcina spindle-shaped virus 1	PQ167755	I	Complete genome	1	Eurekaviridae
Nidovirales	Euroniviridae	Ceronivirinae	Charybnivirus	Beihai nido-like virus 2	KX883628	IV	Partial genome (non-compliant)	1	Euroniviridae
Nidovirales	Euroniviridae	Ceronivirinae	Charybnivirus	Wenling nido-like virus 1	KX883636	IV	Partial genome (non-compliant)	1	Euroniviridae
	Felixviridae	Maevirinae	Chronisvirus	Klebsiella phage vB_Kpn_Chronis	MN013086	I	Complete genome	1	Felixviridae
	Felixviridae		Certevirus	Pantoea phage PdC23	OL396571	I	Complete genome	1	Felixviridae
	Fervensviridae		Deepoceanvirus	Methanocaldococcus fervens tailed virus 1	MT711370	I	Complete genome	1	Fervensviridae
Norzivirales	Fiersviridae		Cunavirus	Enterobacteria phage C-1 INW-2012	JX045649	IV	Complete genome	1	Fiersviridae
Norzivirales	Fiersviridae		Emesvirus	Enterobacteria phage GA	X03869	IV	Complete genome	1	Fiersviridae
Lefavirales	Filamentoviridae		Alphafilamentovirus	Leptopilina boulardi filamentous virus	KY009685	I	Complete genome	1	Filamentoviridae
Lefavirales	Filamentoviridae		Betafilamentovirus	Cotesia congregata filamentous virus 2	OR120048	I	Complete genome	1	Filamentoviridae
Mononegavirales	Filoviridae		Dianlovirus	Déhóng virus	OP924273	V	Complete genome	1	Filoviridae
Mononegavirales	Filoviridae		Orthoebolavirus	Bombali virus	MF319185	V	Complete genome	1	Filoviridae
Lautamovirales	Finnlakeviridae		Finnlakevirus	Flavobacterium phage FLiP	MF361639	II	Complete genome	1	Finnlakeviridae
Amarillovirales	Flaviviridae		Orthoflavivirus	Apoi virus	AF160193	IV	Complete genome	1	Flaviviridae
Amarillovirales	Flaviviridae		Orthoflavivirus	Aroa virus	AY632536	IV	Complete genome	1	Flaviviridae
	Forsetiviridae		Freyavirus	Polaribacter phage Danklef_1	MT732458	I	Complete genome	1	Forsetiviridae
	Forsetiviridae		Freyavirus	Polaribacter phage Freya_1	MT732463	I	Complete genome	1	Forsetiviridae
	Fredfastierviridae		Jamesmcgillvirus	Pseudomonas phage 119X	DQ163914	I	Complete genome	1	Fredfastierviridae
	Fredfastierviridae		Jamesmcgillvirus	Pseudomonas phage PaMx41	KU884563	I	Complete genome	1	Fredfastierviridae
Ghabrivirales	Fusagraviridae		Fusagravirus	Fusarium poae dsRNA virus 3	KU728181	III	Complete genome	1	Fusagraviridae
